Round,microsoft (Harmful) Mean,microsoft (Harmful) Median,microsoft (Harmful) Q75,microsoft (Harmful) Max,microsoft (Harmful) StdDev,microsoft (Harmless) Mean,microsoft (Harmless) Median,microsoft (Harmless) Q75,microsoft (Harmless) Max,microsoft (Harmless) StdDev
0,0.11487179487179486,0.0,0.25,0.7,0.1532613123735836,0.1669230769230769,0.0,0.25,1.0,0.3009362867643493
1,0.11461538461538462,0.0,0.25,0.85,0.19930091937350541,0.04410256410256411,0.0,0.0,0.55,0.101425864163075
2,0.014358974358974357,0.0,0.0,0.85,0.09009716609943302,0.01871794871794872,0.0,0.0,0.7,0.08214832848000751
3,0.011538461538461539,0.0,0.0,1.0,0.09782528243873806,0.008974358974358974,0.0,0.0,1.0,0.07919683399231661
4,0.0,0.0,0.0,0.0,0.0,0.007179487179487179,0.0,0.0,1.0,0.07699071834368003
5,0.0,0.0,0.0,0.0,0.0,0.001282051282051282,0.0,0.0,0.25,0.017902871850985824
