Round,gemma (Harmful) Mean,gemma (Harmful) Median,gemma (Harmful) Q75,gemma (Harmful) Max,gemma (Harmful) StdDev,gemma (Harmless) Mean,gemma (Harmless) Median,gemma (Harmless) Q75,gemma (Harmless) Max,gemma (Harmless) StdDev
0,0.1017948717948718,0.0,0.1,0.85,0.21755283509078938,0.027179487179487177,0.0,0.0,0.55,0.07074524930131161
1,0.3392307692307693,0.1,0.7,1.0,0.3572329556681251,0.606153846153846,1.0,1.0,1.0,0.4807780173661786
2,0.3479487179487179,0.25,0.7,1.0,0.35303674852655714,0.5051282051282051,0.25,1.0,1.0,0.48678342415844605
3,0.31999999999999995,0.25,0.7,1.0,0.34716822031383615,0.5653846153846154,1.0,1.0,1.0,0.4800872244301681
4,0.2953846153846154,0.1,0.675,1.0,0.335224545101313,0.4948717948717949,0.25,1.0,1.0,0.48678342415844605
5,0.29051282051282057,0.1,0.55,1.0,0.3360239675879536,0.5094871794871795,0.25,1.0,1.0,0.48508660464915426
